HospitalName;ServiceSK;AverageWaitingTime;Month;Year;NumberOfPeople
Hospital Distrital de Santarém, EPE;102;0;Dezembro;2024;3
Hospital Distrital de Santarém, EPE;103;32;Dezembro;2024;0
Hospital Distrital de Santarém, EPE;104;32;Dezembro;2024;0
Hospital Distrital de Santarém, EPE;105;29;Dezembro;2024;0
Hospital Distrital de Santarém, EPE;106;29;Dezembro;2024;0
Hospital Distrital de Santarém, EPE;107;25;Dezembro;2024;4
Hospital Distrital de Santarém, EPE;108;58;Dezembro;2024;4
Hospital Distrital de Santarém, EPE;109;0;Dezembro;2024;1
Hospital Distrital de Santarém, EPE;110;0;Dezembro;2024;1
Hospital Distrital de Santarém, EPE;111;0;Dezembro;2024;3
Hospital Distrital de Santarém, EPE;112;0;Dezembro;2024;3
Hospital Distrital de Santarém, EPE;113;0;Dezembro;2024;3
Hospital Distrital de Santarém, EPE;114;0;Dezembro;2024;3
Hospital Distrital de Santarém, EPE;115;29;Dezembro;2024;0
Hospital Distrital de Santarém, EPE;116;0;Dezembro;2024;3
Hospital Distrital de Santarém, EPE;117;0;Dezembro;2024;1
Hospital Distrital de Santarém, EPE;118;0;Dezembro;2024;1
Hospital Distrital de Santarém, EPE;119;0;Dezembro;2024;1
Hospital Distrital de Santarém, EPE;120;0;Dezembro;2024;2
Hospital Distrital de Santarém, EPE;121;0;Dezembro;2024;1
Hospital Distrital de Santarém, EPE;122;0;Dezembro;2024;3
Hospital Distrital de Santarém, EPE;123;0;Dezembro;2024;1
Hospital Distrital de Santarém, EPE;124;0;Dezembro;2024;1
Hospital Distrital de Santarém, EPE;125;0;Dezembro;2024;4
Hospital Distrital de Santarém, EPE;126;0;Dezembro;2024;4
Hospital Distrital de Santarém, EPE;127;28;Dezembro;2024;4
Hospital Distrital Torres Vedras (Centro Hospitalar do Oeste);92;46;Dezembro;2024;5
Hospital Distrital Torres Vedras (Centro Hospitalar do Oeste);93;46;Dezembro;2024;5
Hospital Distrital Torres Vedras (Centro Hospitalar do Oeste);94;0;Dezembro;2024;18
Hospital Distrital Torres Vedras (Centro Hospitalar do Oeste);95;166;Dezembro;2024;237
Hospital Professor Doutor Fernando Fonseca, EPE;96;47;Dezembro;2024;3
Hospital Professor Doutor Fernando Fonseca, EPE;97;13;Dezembro;2024;0
Hospital Professor Doutor Fernando Fonseca, EPE;98;21;Dezembro;2024;1
Hospital Professor Doutor Fernando Fonseca, EPE;99;18;Dezembro;2024;4
Hospital Professor Doutor Fernando Fonseca, EPE;100;18;Dezembro;2024;4
Hospital Professor Doutor Fernando Fonseca, EPE;101;28;Dezembro;2024;0
Hospital Santa Maria (Centro Hospitalar de Lisboa Norte, EPE);128;36;Dezembro;2024;20
Hospital Santa Maria (Centro Hospitalar de Lisboa Norte, EPE);129;161;Dezembro;2024;1336
Hospital Santa Maria (Centro Hospitalar de Lisboa Norte, EPE);130;56;Dezembro;2024;12
